Genotype,Root_length,Temp,Geno_temp
lhp1ino80,1.799661382,22,lhp1ino80_22
lhp1ino80,1.762325262,22,lhp1ino80_22
lhp1ino80,2.1472171,22,lhp1ino80_22
lhp1ino80,2.526922665,22,lhp1ino80_22
lhp1ino80,1.863029563,22,lhp1ino80_22
lhp1ino80,2.360382928,22,lhp1ino80_22
lhp1ino80,1.824006646,22,lhp1ino80_22
lhp1ino80,2.049181463,22,lhp1ino80_22
lhp1ino80,1.904419031,22,lhp1ino80_22
lhp1ino80,2.167634897,22,lhp1ino80_22
lhp1ino80,2.247443055,22,lhp1ino80_22
lhp1ino80,1.896035398,22,lhp1ino80_22
lhp1ino80,2.012751682,22,lhp1ino80_22
lhp1ino80,2.148702488,22,lhp1ino80_22
lhp1ino80,1.562452401,22,lhp1ino80_22
lhp1ino80,1.670759877,22,lhp1ino80_22
lhp1ino80,1.561722295,22,lhp1ino80_22
lhp1ino80,2.381430127,22,lhp1ino80_22
lhp1ino80,2.242634425,22,lhp1ino80_22
lhp1ino80,2.177806031,22,lhp1ino80_22
lhp1ino80,2.108370416,22,lhp1ino80_22
lhp1ino80,2.067232709,22,lhp1ino80_22
lhp1ino80,1.904419031,22,lhp1ino80_22
lhp1ino80,1.712149344,22,lhp1ino80_22
lhp1ino80,1.954192131,22,lhp1ino80_22
lhp1ino80,2.075314229,22,lhp1ino80_22
lhp1ino80,1.612854904,22,lhp1ino80_22
lhp1ino80,2.136844557,22,lhp1ino80_22
lhp1ino80,2.132816385,22,lhp1ino80_22
lhp1ino80,2.13130582,22,lhp1ino80_22
lhp1ino80,1.77093548,22,lhp1ino80_22
lhp1ino80,1.832843449,22,lhp1ino80_22
lhp1ino80,2.317029727,22,lhp1ino80_22
lhp1ino80,1.991931068,22,lhp1ino80_22
lhp1ino80,1.794021941,22,lhp1ino80_22
lhp1ino80,1.903411988,22,lhp1ino80_22
INO80ox,3.571679009,22,INO80ox_22
INO80ox,3.123693782,22,INO80ox_22
INO80ox,3.128534977,22,INO80ox_22
INO80ox,3.465047944,22,INO80ox_22
INO80ox,3.586524509,22,INO80ox_22
INO80ox,3.496289249,22,INO80ox_22
INO80ox,3.306361555,22,INO80ox_22
INO80ox,3.052248723,22,INO80ox_22
INO80ox,3.344641932,22,INO80ox_22
INO80ox,3.605342783,22,INO80ox_22
INO80ox,3.359489928,22,INO80ox_22
INO80ox,3.067545901,22,INO80ox_22
INO80ox,3.420703595,22,INO80ox_22
INO80ox,3.408226288,22,INO80ox_22
INO80ox,3.704437554,22,INO80ox_22
INO80ox,3.015740123,22,INO80ox_22
INO80ox,3.132178351,22,INO80ox_22
INO80ox,3.232820308,22,INO80ox_22
INO80ox,3.540086468,22,INO80ox_22
INO80ox,3.215077578,22,INO80ox_22
INO80ox,3.341497651,22,INO80ox_22
INO80ox,3.67883412,22,INO80ox_22
INO80ox,3.089755507,22,INO80ox_22
INO80ox,3.586976187,22,INO80ox_22
INO80ox,3.380401894,22,INO80ox_22
INO80ox,3.310678703,22,INO80ox_22
INO80ox,3.613852306,22,INO80ox_22
INO80ox,3.492073791,22,INO80ox_22
INO80ox,3.443736704,22,INO80ox_22
INO80ox,3.337554822,22,INO80ox_22
INO80ox,3.1402886,22,INO80ox_22
INO80ox,3.362484481,22,INO80ox_22
INO80ox,3.271075731,22,INO80ox_22
INO80ox,3.146202844,22,INO80ox_22
INO80ox,3.399916402,22,INO80ox_22
INO80ox,3.781196699,22,INO80ox_22
INO80ox,3.071289093,22,INO80ox_22
INO80ox,3.44301302,22,INO80ox_22
INO80ox,3.521021143,22,INO80ox_22
INO80ox,3.700295088,22,INO80ox_22
INO80ox,3.393353339,22,INO80ox_22
INO80oxein2,3.094454703,22,INO80oxein2_22
INO80oxein2,3.129082063,22,INO80oxein2_22
INO80oxein2,3.555792884,22,INO80oxein2_22
INO80oxein2,3.453950531,22,INO80oxein2_22
INO80oxein2,2.990500633,22,INO80oxein2_22
INO80oxein2,2.995853116,22,INO80oxein2_22
INO80oxein2,3.148639442,22,INO80oxein2_22
INO80oxein2,3.119867298,22,INO80oxein2_22
INO80oxein2,2.87574801,22,INO80oxein2_22
INO80oxein2,3.150511192,22,INO80oxein2_22
INO80oxein2,3.108252854,22,INO80oxein2_22
INO80oxein2,2.750100846,22,INO80oxein2_22
INO80oxein2,3.480490974,22,INO80oxein2_22
INO80oxein2,2.935260035,22,INO80oxein2_22
INO80oxein2,3.216406362,22,INO80oxein2_22
INO80oxein2,3.522053405,22,INO80oxein2_22
INO80oxein2,3.511302845,22,INO80oxein2_22
INO80oxein2,3.548761826,22,INO80oxein2_22
INO80oxein2,3.320552406,22,INO80oxein2_22
INO80oxein2,3.232652185,22,INO80oxein2_22
INO80oxein2,3.526756775,22,INO80oxein2_22
INO80oxein2,3.346972866,22,INO80oxein2_22
INO80oxein2,2.917670392,22,INO80oxein2_22
INO80oxein2,3.147943536,22,INO80oxein2_22
INO80oxein2,3.27186293,22,INO80oxein2_22
INO80oxein2,2.861653498,22,INO80oxein2_22
INO80oxein2,2.868668958,22,INO80oxein2_22
INO80oxein2,3.137624918,22,INO80oxein2_22
INO80oxein2,3.09380679,22,INO80oxein2_22
INO80oxein2,3.196169873,22,INO80oxein2_22
INO80oxein2,3.442288093,22,INO80oxein2_22
INO80oxein2,3.395038425,22,INO80oxein2_22
INO80oxein2,3.324943818,22,INO80oxein2_22
INO80oxein2,3.13193768,22,INO80oxein2_22
INO80oxein2,3.545570254,22,INO80oxein2_22
INO80oxein2,2.966815807,22,INO80oxein2_22
INO80oxein2,3.295910348,22,INO80oxein2_22
INO80oxein2,3.060381909,22,INO80oxein2_22
INO80oxein2,3.462640006,22,INO80oxein2_22
INO80oxein2,3.402864016,22,INO80oxein2_22
INO80oxein3,3.423322505,22,INO80oxein3_22
INO80oxein3,3.515909138,22,INO80oxein3_22
INO80oxein3,3.327019777,22,INO80oxein3_22
INO80oxein3,3.500971892,22,INO80oxein3_22
INO80oxein3,3.238343544,22,INO80oxein3_22
INO80oxein3,2.983317404,22,INO80oxein3_22
INO80oxein3,3.405422099,22,INO80oxein3_22
INO80oxein3,3.112409208,22,INO80oxein3_22
INO80oxein3,3.093634426,22,INO80oxein3_22
INO80oxein3,3.284126809,22,INO80oxein3_22
INO80oxein3,3.573205011,22,INO80oxein3_22
INO80oxein3,2.968793058,22,INO80oxein3_22
INO80oxein3,3.233218733,22,INO80oxein3_22
INO80oxein3,3.3998601,22,INO80oxein3_22
INO80oxein3,3.178813157,22,INO80oxein3_22
INO80oxein3,3.475639296,22,INO80oxein3_22
INO80oxein3,3.446736333,22,INO80oxein3_22
INO80oxein3,3.352328085,22,INO80oxein3_22
INO80oxein3,3.080300202,22,INO80oxein3_22
INO80oxein3,3.508136913,22,INO80oxein3_22
INO80oxein3,2.806062093,22,INO80oxein3_22
